Date,Close
2010-01-04,18.16
2010-01-05,18.290001
2010-01-06,19.51
2010-01-07,18.5
2010-01-08,18.200001
2010-01-11,18.57
2010-01-12,17.108
2010-01-13,17.92
2010-01-14,18.120001000000002
2010-01-15,17.48
2010-01-19,18.16
2010-01-20,17.309998999999998
2010-01-21,16.7299
2010-01-22,16.43
2010-01-25,16.530001000000002
2010-01-26,16.18
2010-01-27,14.81
2010-01-28,14.03
2010-01-29,13.48
2010-02-01,13.986
2010-02-02,14.178
2010-02-03,13.37
2010-02-04,12.53
2010-02-05,12.04
2010-02-08,12.47
2010-02-09,13.41
2010-02-10,13.29
2010-02-11,14.228
2010-02-12,13.77
2010-02-16,15.216
2010-02-17,15.16
2010-02-18,15.38
2010-02-19,15.73
2010-02-22,15.35
2010-02-23,14.53
2010-02-24,14.67
2010-02-25,14.22
2010-02-26,14.812
2010-03-01,15.09
2010-03-02,15.49
2010-03-03,15.89
2010-03-04,15.53
2010-03-05,16.24
2010-03-08,16.309998999999998
2010-03-09,16.35
2010-03-10,16.25
2010-03-11,16.190001000000002
2010-03-12,16.25
2010-03-15,15.69
2010-03-16,16.1
2010-03-17,16.58
2010-03-18,16.3901
2010-03-19,16.02
2010-03-22,16.07
2010-03-23,15.83
2010-03-24,15.204
2010-03-25,15.4899
2010-03-26,15.72
2010-03-29,16.799999
2010-03-30,17.030001000000002
2010-03-31,17.16
2010-04-01,17.52
2010-04-05,18.0
2010-04-06,17.85
2010-04-07,17.49
2010-04-08,17.51
2010-04-09,17.860001
2010-04-12,17.709999
2010-04-13,18.02
2010-04-14,18.378099
2010-04-15,18.540001
2010-04-16,17.67
2010-04-19,17.32
2010-04-20,17.58
2010-04-21,17.469998999999998
2010-04-22,17.040001
2010-04-23,17.26
2010-04-26,17.129998999999998
2010-04-27,15.55
2010-04-28,15.86
2010-04-29,15.48
2010-04-30,15.72
2010-05-03,15.1101
2010-05-04,14.12
2010-05-05,13.54
2010-05-06,13.1
2010-05-07,13.5
2010-05-10,14.11
2010-05-11,13.34
2010-05-12,13.74
2010-05-13,14.289
2010-05-14,13.15
